Categorie1;Categorie2;Data_type;Aantal_decimalen;Variabele;actual-projection;raming_2010;raming_2013;raming_2016;raming_2019_demo;raming_2022;raming_2025
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_vrouw_5jaar;projection;0,93;0,933;0,931;0,941;0,96;0,943
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_vrouw_10jaar;projection;0,88;0,9;0,899;0,913;0,9;0,889
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_vrouw_15jaar;projection;0,821;0,858;0,865;0,886;0,8;0,851
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_man_1jaar;projection;0,919;0,954;0,978;0,989;0,99;0,992
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_man_5jaar;projection;0,918;0,94;0,925;0,944;0,95;0,959
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_man_10jaar;projection;0,899;0,923;0,893;0,933;0,91;0,931
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_man_15jaar;projection;0,862;0,907;0,862;0,906;0,72;0,905
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_totaal_1jaar;projection;0,9397;0,9479;0,9718;0,9905;0,99;0,9898
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_totaal_5jaar;projection;0,9266;0,9347;0,9296;0,9418;0,9574;0,9472
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_totaal_10jaar;projection;0,8855;0,9055;0,8976;0,9181;0,9026;0,8999
Opleiding;Instroom in de opleiding tot basisjaar;Percentage;3;extern_rendement_totaal_15jaar;projection;0,8328;0,8698;0,8643;0,8911;0,779;0,865
Opleiding;In opleiding tussen nu en bijsturingsjaar;Aantal;0;n_inopleiding_perjaar2;actual;596;660;706;721;798;718
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;per_vrouw_opleiding2;actual;0,713;0,76;0,775;0,746;0,737;0,74
Opleiding;In opleiding tussen nu en bijsturingsjaar;Aantal;1;opleidingsduur2;actual;3;3;3;3,1;3,2;3,2
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;intern_rendement2;actual;0,939;0,936;0,933;0,938;0,943;0,94
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_vrouw_1jaar2;projection;0,948;0,946;0,97;0,991;0,99;0,989
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_vrouw_5jaar2;projection;0,93;0,933;0,931;0,941;0,96;0,943
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_vrouw_10jaar2;projection;0,88;0,9;0,899;0,913;0,9;0,889
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_vrouw_15jaar2;projection;0,821;0,858;0,865;0,886;0,8;0,851
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_man_1jaar2;projection;0,919;0,954;0,978;0,989;0,99;0,992
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_man_5jaar2;projection;0,918;0,94;0,925;0,944;0,95;0,959
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_man_10jaar2;projection;0,899;0,923;0,893;0,933;0,91;0,931
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_man_15jaar2;projection;0,862;0,907;0,862;0,906;0,72;0,905
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_totaal_1jaar2;projection;0,9397;0,9479;0,9718;0,9905;0,99;0,9898
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_totaal_5jaar2;projection;0,9266;0,9347;0,9296;0,9418;0,9574;0,9472
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_totaal_10jaar2;projection;0,8855;0,9055;0,8976;0,9181;0,9026;0,8999
Opleiding;In opleiding tussen nu en bijsturingsjaar;Percentage;3;extern_rendement_totaal_15jaar2;projection;0,8328;0,8698;0,8643;0,8911;0,779;0,865
Opleiding;In opleiding na bijsturingsjaar;Aantal;0;n_inopleiding_perjaar3;actual;596;720;750;722;798;718
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;per_vrouw_opleiding3;actual;0,713;0,76;0,775;0,746;0,737;0,74
Opleiding;In opleiding na bijsturingsjaar;Aantal;1;opleidingsduur3;actual;3;3;3;3,1;3,2;3,2
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;intern_rendement3;actual;0,939;0,936;0,933;0,938;0,943;0,94
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_vrouw_1jaar3;projection;0,948;0,946;0,97;0,991;0,99;0,989
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_vrouw_5jaar3;projection;0,93;0,933;0,931;0,941;0,96;0,943
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_vrouw_10jaar3;projection;0,88;0,9;0,899;0,913;0,9;0,889
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_vrouw_15jaar3;projection;0,821;0,858;0,865;0,886;0,8;0,851
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_man_1jaar3;projection;0,919;0,954;0,978;0,989;0,99;0,992
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_man_5jaar3;projection;0,918;0,94;0,925;0,944;0,95;0,959
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_man_10jaar3;projection;0,899;0,923;0,893;0,933;0,91;0,931
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_man_15jaar3;projection;0,862;0,907;0,862;0,906;0,72;0,905
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_totaal_1jaar3;projection;0,9397;0,9479;0,9718;0,9905;0,99;0,9898
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_totaal_5jaar3;projection;0,9266;0,9347;0,9296;0,9418;0,9574;0,9472
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_totaal_10jaar3;projection;0,8855;0,9055;0,8976;0,9181;0,9026;0,8999
Opleiding;In opleiding na bijsturingsjaar;Percentage;3;extern_rendement_totaal_15jaar3;projection;0,8328;0,8698;0,8643;0,8911;0,779;0,865
Buitenland;;Aantal;0;n_buitenland;actual;0;15;10;15;0;14
Buitenland;;Percentage;3;per_vrouw_buitenland;actual;0,418;0,418;0,714;0,714;0;1
Buitenland;;Percentage;3;rendement_buitenland;actual;0;0,65;0,4;0,4;0;1
Zorgvraag;Onvervulde-vraag;Percentage;3;onv_vraag_laag;actual;0,01;0;0;0,03;0,07;0,063
Zorgvraag;Onvervulde-vraag;Percentage;3;onv_vraag_midden;actual;0,01;0;0;0,03;0,08;0,063
Zorgvraag;Onvervulde-vraag;Percentage;3;onv_vraag_hoog;actual;0,01;0;0;0,05;0,09;0,063
Zorgvraag;Demografie;Percentage;3;demo_5_laag;projection;0,031;0,035;0,049;0,06;0,058;0,043
Zorgvraag;Demografie;Percentage;3;demo_10_laag;projection;0,06;0,071;0,094;0,114;0,108;0,086
Zorgvraag;Demografie;Percentage;3;demo_15_laag;projection;0,084;0,106;0,135;0,16;0,148;0,121
Zorgvraag;Demografie;Percentage;3;demo_20_laag;projection;0,104;0,133;0,172;0,195;0,179;0,148
Zorgvraag;Demografie;Percentage;3;demo_5_midden;projection;0,031;0,035;0,049;0,06;0,058;0,043
Zorgvraag;Demografie;Percentage;3;demo_10_midden;projection;0,06;0,071;0,094;0,114;0,108;0,086
Zorgvraag;Demografie;Percentage;3;demo_15_midden;projection;0,084;0,106;0,135;0,16;0,148;0,121
Zorgvraag;Demografie;Percentage;3;demo_20_midden;projection;0,104;0,133;0,172;0,195;0,179;0,148
Zorgvraag;Demografie;Percentage;3;demo_5_hoog;projection;0,031;0,035;0,049;0,06;0,058;0,043
Zorgvraag;Demografie;Percentage;3;demo_10_hoog;projection;0,06;0,071;0,094;0,114;0,108;0,086
Zorgvraag;Demografie;Percentage;3;demo_15_hoog;projection;0,084;0,106;0,135;0,16;0,148;0,121
Zorgvraag;Demografie;Percentage;3;demo_20_hoog;projection;0,104;0,133;0,172;0,195;0,179;0,148
Zorgvraag;Epidemiologie;Percentage;3;epi_laag;projection;0,003;0,003;0,004;0,004;0,005;0,01
Zorgvraag;Sociaal-cultureel;Percentage;3;sociaal_laag;projection;0,005;0,007;0,008;0,008;0,008;0,019
Zorgvraag;Vakinhoudelijk;Percentage;3;vakinh_laag;projection;0,001;0,001;0,001;0,002;0,005;-0,003
Zorgvraag;Efficiency;Percentage;3;effic_laag;projection;0,002;0,003;0;0,003;0,003;-0,005
Zorgvraag;Horizontale-substitutie;Percentage;3;horsub_laag;projection;0,005;0,01;0,012;0,01;0,012;0,016
Zorgvraag;Epidemiologie;Percentage;3;epi_midden;projection;0,003;0,003;0,004;0,004;0,007;0,01
Zorgvraag;Sociaal-cultureel;Percentage;3;sociaal_midden;projection;0,005;0,007;0,008;0,008;0,012;0,019
Zorgvraag;Vakinhoudelijk;Percentage;3;vakinh_midden;projection;0,001;0,001;0,001;0,002;0,008;-0,003
Zorgvraag;Efficiency;Percentage;3;effic_midden;projection;0,002;0,003;0;0,003;0,004;-0,005
Zorgvraag;Horizontale-substitutie;Percentage;3;horsub_midden;projection;0,005;0,01;0,012;0,01;0,014;0,016
Zorgvraag;Epidemiologie;Percentage;3;epi_hoog;projection;0,006;0,006;0,008;0,008;0,01;0,01
Zorgvraag;Sociaal-cultureel;Percentage;3;sociaal_hoog;projection;0,01;0,014;0,016;0,016;0,016;0,019
Zorgvraag;Vakinhoudelijk;Percentage;3;vakinh_hoog;projection;0,002;0,004;0,004;0,005;0,01;-0,003
Zorgvraag;Efficiency;Percentage;3;effic_hoog;projection;0,004;0,005;0;0,005;0,005;-0,005
Zorgvraag;Horizontale-substitutie;Percentage;3;horsub_hoog;projection;0,01;0,015;0,016;0,014;0,016;0,016
Zorgvraag;ATV;Percentage;3;atv_laag;projection;0;0;0;0,008;0,013;0
Zorgvraag;ATV;Percentage;3;atv_midden;projection;0;0;0;0,008;0,015;0
Zorgvraag;ATV;Percentage;3;atv_hoog;projection;0;0;0;0,01;0,018;0
Zorgvraag;Verticale-substitutie;Percentage;3;vertsub_laag;projection;-0,006;-0,006;-0,01;-0,006;-0,006;-0,011
Zorgvraag;Verticale-substitutie;Percentage;3;vertsub_midden;projection;-0,006;-0,006;-0,01;-0,006;-0,01;-0,011
Zorgvraag;Verticale-substitutie;Percentage;3;vertsub_hoog;projection;-0,012;-0,012;-0,016;-0,014;-0,014;-0,011
Zorgvraag;totaal-ex-ATV;Percentage;3;totale_zorgvraag_excl_ATV_laag;projection;0,01;0,018;0,015;0,021;0,027;0,026
Zorgvraag;totaal-ex-ATV;Percentage;3;totale_zorgvraag_excl_ATV_midden;projection;0,01;0,018;0,015;0,021;0,036;0,026
Zorgvraag;totaal-ex-ATV;Percentage;3;totale_zorgvraag_excl_ATV_hoog;projection;0,02;0,032;0,028;0,034;0,043;0,026
